Komentar,text_clean,Label_Teks,Label_Angka
gue pernah jdi karyawan tije juga udh jrg naik 😂,gue pernah jdi karyawan tije sudah jrg naik,Negatif,-1
"gue yg pp naik tj, ank rantau, dengn gaji 50k perhari, blm lgi uang mkn di tmpt kerja:')",gue pulang pergi naik transjakarta ank rantau dengn gaji k hari belum lgi uang mkn tmpt kerja,Negatif,-1
gue juga gak iklas klw naik tarif nya,gue gak iklas klw naik tarif,Negatif,-1
"gue gk setuju sih klu naik tapi fasilitas nya gk di perbaikin sama karyawan nya jngn judes"", pernah sy nanya buat tujuan tapi jawabannya judes pisan, beda kek naik krl enak pada ramah""",gue gk tuju klu naik tapi fasilitas gk perbaikin sama karyawan jngn judes pernah nanya buat tuju tapi jawab judes pis beda naik krl enak ramah,Negatif,-1
Pengguna TJK perlahan mulai beralih ke ojol dan kendaraan pribadi mengingat mereka punya perhitungan juga… transum 7000k belum tentu duduk😂,guna tjk perlahan mulai alih ojol kendara pribadi ingat punya hitung transportasi umum k belum duduk,Negatif,-1
"aku pengguna tj,non BRT sama BRT, jadi bayarnya ke tap 2 kali,dlu engga,kalo misalkan naik 5 ribu gpp pak,asalkan non BRT sudah termasuk,dulu tj nya bilang cuman registrasi,aku berangkat 10 ribu,jadi kalo PP 20 ribu,20 ribu x 25 hari =450 ribu,aku mending naik motor aja kalo gitu wkwk bensin full 50k bs 3 hari PP Bekasi -Kelapa gading 😁",guna transjakarta non brt sama brt jadi bayar tempel kali dulu engga kalau misal naik ribu gpp asal non brt masuk dulu transjakarta bilang cuman registrasi berangkat ribu jadi kalau pulang pergi ribu ribu x hari ribu mending naik motor kalau gitu bensin full k hari pulang pergi bekas kelapa gading,Negatif,-1
SAYA..pengguna TJ sangat tidak Setuju tarip TJ naik Krma tarip 7000 itu sudh Bagus ko TJ itu LNADMARK nya JKT ..jadi jgan di jadikan Bisnis,guna transjakarta sangat tidak tuju tarip transjakarta naik krma tarip sudh bagus ko transjakarta lnadmark jkt jadi jgan jadi bisnis,Negatif,-1
"saya pengguna tj tiap hari, dari rumah ke kerjaan 3 halte aja kalo gini saya mau maksain naik motor aja😂",guna transjakarta tiap hari rumah kerja halte kalau gin mau maksain naik motor,Negatif,-1
hadeeeeuh paaaak.....kita LBH beraaaat pak,hadeuh kita lbh berat,Negatif,-1
hadeeeggghhh,hadegh,Negatif,-1
"hadeh,bpk gubernur bwt gebrakan baru jgn sampai menekan kalangan bwh,klw saya sih PP kerja bw motor tp kan kasian pak bwt kalangan yg gaji ny pas bwt kebutuhan hidup mrk.",hadeh bapak gubernur bwt gebrak baru sampai tekan kalang bwh klw sih pulang pergi kerja bw motor tapi kasi bwt kalang gaji pas bwt butuh hidup mrk,Negatif,-1
hadeh 3.5 aja ke potong double nyesel bgt ini goceng😭,hadeh ke potong double nyesel ini lima ribu,Negatif,-1
HADEHHHHHH INDO,hadeh indo,Negatif,-1
hadeuh naik.naik.mulu tp keluhan yg pakai tj.tenyang armada sama tap out nya GK d benerin .,hadeuh naik naik mulu tapi keluh pakai transjakarta tenyang armada sama tempel out gk benerin,Negatif,-1
haduh kasian pelajar mending Ahok deh ga nyusahin rakyatnya makin ke sini makin ngadi2 aja loe gubernur,haduh kasi ajar mending ahok tidak nyusahin rakyat makin sini makin ada loe gubernur,Negatif,-1
Hahaha inflasi,hahaha inflasi,Negatif,-1
"Haiii kakak~kakak, mager beres beres boleh bgt. Tapi jangan mager tanya tanya aku yaaahh😺🪣🧤🪠🧽",hai kakak kakak mager beres beres banget tapi jangan mager tanya tanya yahh,Negatif,-1
"halah gpp pak, asal jangan kepotong dua kali mulu 10-28 0 Reply",halah gpp asal jangan potong kali mulu,Negatif,-1
halah gue naik sering kepotong 2x tap in tap out. kalo sistemnya ga dibenerin mending gue naik ojol sekalian kalo 5rb kepotong 2x jd 10rb waw bgt,halah gue naik sering potong x tempel in tempel out kalau sistem tidak dibenerin mending gue naik ojol sekali kalau rb potong x rb waw,Negatif,-1
halah org sono naik seperak aja kek naek sejuta apa daya kita diluar pulau,halah org sono naik perak seperti naik juta apa daya luar pulau,Negatif,-1
haleo mana tiap hari berangkat kerja naik busway 😭 10-27 0 Reply,haleo mana tiap hari berangkat kerja naik busway,Negatif,-1
"halte masih banyak yang bolong, Transjakartanya suka telat, jalur khusus yang seharusnya buat Transjakarta malah di pake oknum gk bertanggung jawab",halte banyak bolong transjakartanya suka telat jalur khusus harus buat transjakarta malah pake oknum gk tanggung jawab,Negatif,-1
halte tanjung duren plisss di benerin😭gua baru ngerasain ngantri se panjang itu njirr. halte sempit banget buat pengunaan dari 3 mall sih kacau ampe ke jpo yg dah mau masuk mall cp njir antrian nya 😭,halte tanjung duren plis beneringua baru ngerasain ngantri se panjang njirr halte sempit buat pengunaan mall kacau ampe jpo dah mau masuk mall cp njir antri,Negatif,-1
"halte ga Wellcome bngt buat pengguna,masih aja pakai tangga bikin orang yg sudah lansia dan yg ada cacat susah buat naik turun tanga",halte tidak wellcome bngt buat guna saja pakai tangga orang sudah lansia yang cacat susah buat naik turun tanga,Negatif,-1
hampir sejam lama,hampir jam lama,Negatif,-1
hancur,hancur,Negatif,-1
Berharap turun malah naikkk gimna ini konsep nya,harap turun malah naik gimna konsep,Negatif,-1
"berharap sih, untuk keputusan apapun nantinya yg berhubungan dengan finansial juga mengutamakan pertimbangan mengenai mahasiswa",harap untuk putus apa nanti hubung finansial utama timbang kena mahasiswa,Negatif,-1
harga BBM turunin,harga bbm turunin,Negatif,-1
"PAK tarif emg murah, tp pengguna juga kan membludak 😏🥺",tarif emg murah tapi guna kan membludak,Negatif,-1
tarif naik gaji ga naik,tarif naik gaji tidak naik,Negatif,-1
"Tarif naik gaji ga naik,lama2 saving gw perbulan berkurang krn biaya hidup,kapan kaya nya",tarif naik gaji tidak naik lama saving bulan kurang biaya hidup kapan kaya,Negatif,-1
"tarif naik 6H banyakin plis, pernah nunggu dr maghrib sampe isya ga boong😭🙏🏻",tarif naik h banyakin plis pernah nunggu dr maghrib sampe isya tidak boong,Negatif,-1
harga naik dijamin bisa duduk ga,harga naik jamin duduk tidak,Negatif,-1
"Harga Naik Kualitas Juga Harus Naik, Ga Mikir Apa Orang Yang Kerja Tiap Hari PP? Pejabat Mah Enak, Naek Mobil Bagus, Macet Dikit Tinggal Tot Tot Wuk Wuk Doang",harga naik kualitas harus naik tidak mikir apa orang kerja tiap hari pulang pergi jabat enak naik mobil bagus macet sedikit tinggal tot tot wuk wuk doang,Negatif,-1
"harga naik, tapi fasilitas kagaa",harga naik tapi fasilitas kagaa,Negatif,-1
Tarif boleh naik Pak .........tapi Pramudi juga .......mohon diperhatikan .....kembalikan di Traja adanya On Board........,tarif naik tapi pramudi mohon perhati kembali traja ada on board,Negatif,-1
"itu yang bilang harga naik tetep merakyat, iya merakyat tapi coba bandingin murah mana 5000 sama 3500? ibarat uang lu 5000 beli jajan 3500 kembalian bisa buat besok atau beli jajanan lain, hitungan perbulan buat yg gajinya (maaf) ga sampe umr gmna? itung dulu lah jirr",harga naik tetep rakyat iya rakyat tapi coba bandingin murah mana sama ibarat uang kamu beli jajan kembali buat besok beli jajan hitung bulan buat yang gaji maaf tidak sampe umr gmna itung dulu lah jirr,Negatif,-1
"Harga naik , umr di naikin juga pak , krn kebutuhan naik juga , gimana nich",harga naik umr naikin pak butuh naik gimana nich,Negatif,-1
tarif boleh naek..... asalkan tuh duit jangan sampe masuk k partai aje 🤣🤣🤣🤣,tarif naik asal duit jangan sampe masuk k partai aje,Negatif,-1
tarif naek giliran ngisi saldo error trs saldo g masuk g ada tuh yg perduli yg ada duit kita ilang begtu aja,tarif naik gilir ngisi uang error trs uang g masuk g tuh duli ada duit ilang begtu,Negatif,-1
"tarif di naikiin, tjnya bikin lebih banyak dan jgn lama2 dtgnya pak, udh bayar segitu kita pengen kebagian bangku juga :)",tarif naikiin tjnya lebih banyak jgn lama dtgnya sudah bayar segitu ken bagi bangku,Negatif,-1
tarif dan naikin. hmpir setngh jam tau lebih di tunggu di halte gk datang2 busway nya,tarif naikin hmpir setngh jam lebih tunggu halte gk datang busway,Negatif,-1
sementara tarif ojol dan kurir paket terus turun hanya demi persaingan bisnis perusahaannya. 😩,tarif ojol kurir paket terus turun demi saing bisnis usaha,Negatif,-1
Tarif Gojek Grab Hemat biru ga ya🙏😭,tarif gojek grab hemat biru tidak,Negatif,-1
tarif progresif aja pak. mainnya jarak kayak kereta. jarak paling jauh 7k gitu,tarif progresif pak main jarak kayak kereta jarak paling jauh k gitu,Negatif,-1
harga busway dari Bogor ke blok M yang harus naik karena itu sudah diluar Jakarta,harga busway bogor blok m harus naik itu luar jakarta,Negatif,-1
"tarif TJ naik, bensin turun. baru adul 🗿",tarif transjakarta naik bensin turun baru adul,Negatif,-1
jika tarif Transjakarta naik jgn salahkan warga jikalau warga akan menggunakan kembali kendaraan pribadi mereka....,tarif transjakarta naik salah warga jikalau warga guna kendara pribadi,Negatif,-1
"Tarif busway boleh aja dinaikkan, tp imbangi jga donk dgn. pelayanannya,fasilitas umumnya, halte2 yg rusak dperbaiki, sprti itu pak 🙏",tarif busway saja naik tapi imbang jga donk layan fasilitas umum halte rusak dperbaiki sprti pak,Negatif,-1
harusnya untuk pelajar jangan dinaekin deh harganya,harus ajar jangan dinaekin harga,Negatif,-1
"harusnya asn tuh dikasih kartu golongan khusus yg per tap 10rb, bukan malah dibebanin ke masyarakat lagi. Hadeh pram pram, blunder lo. Jadi nyesel nyoblos",harus asn kasih kartu golong khusus per tempel rb bukan malah dibebanin masyarakat hadeh pram pram blunder kamu jadi nyesel nyoblos,Negatif,-1
"Harusnya yg gratis orang yg tidak mempunyai gaji.. lansia, pelajar, kader masyarakat spt PKK, Jumantik, Dasawisma..",harus gratis orang tidak punya gaji lansia ajar kader masyarakat spt pkk jumantik dasawisma,Negatif,-1
"harusnya klo mau sistem nya kaya krl, ini klo turun cuma 2 halte rugi bgt 🫠",harus kalau mau sistem kaya krl kalau turun cuma halte rugi,Negatif,-1
harusnya yg manikmati subsidi yg ber ktp jakarta karena yg di gelontorkan uang apbd jakarta harusnya kepemilikan kartu tap,harus manikmati subsidi ber ktp jakarta yang gelontor uang apbd jakarta harus milik kartu tempel,Negatif,-1
harusnya pemprov jabar sama banten tuh bantu urunan subsidi,harus pemprov jabar sama banten bantu urun subsidi,Negatif,-1
"Harusnya diubah, yang digratiskan itu untuk pekerja di jakarta. Kalau lansia, marbot, dll. memangnya mereka apa sumbangsih mereka ke ekonomi? Pemborosan anggaran itu namanya.. Subsidi tak tepat guna.",harus ubah gratis untuk kerja jakarta kalau lansia marbot memang apa sumbangsih ke ekonomi boros anggar nama subsidi tak tepat,Negatif,-1
"harusnya yaudah tetep aja seperti yang lama, ini kenapa jadi di bebankan ke karyawan swasta dengan pendapat menengah yg tidak termasuk 15 golongan itu. ASEM !",harus yaudah tetep seperti lama kenapa jadi beban karyawan swasta dapat tengah tidak masuk golong asem,Negatif,-1
"hdeh masyarakat pake tj karna harganya lebih murah ketimbang gojek atau bw kendaraan sendiri, malah dinaikin wkwkwkw 11-2 0 Reply",hdeh masyarakat pake transjakarta harga lebih murah ketimbang gojek bw kendara sendiri malah dinaikin wkwkwkw,Negatif,-1
"hehehehehe maaf pak klo bisa mobil DPR aja yg di minimalis agar uangnya bisa di alirkan untuk memajukan armada Transjakarta di jakarta..... jakarta keras apalagi buat kaum rengginang, ngomongin beli kopi ja*o 7000an bisa naik 1.500 komplen, sorry to say... gak semua yg naik Transjakarta itu bebelian kopi gtuan, ada yg rela ngopi saset seharga 2000an biar 5000nya bisa beli nasduk buat sarapan ... #yg penting ngopi😂 KLO bisa pemerintah buat kartu langganan jadi lebih murah mungkin seperti ituu bisa bantu kaum rengginang, apalagi tulang punggung keluarga pakk🙏.... KLO dibilang dari 2005 gak naiik2 harganya sekarang naik wajar, iyaa betull saya pun setuju, tapi apakah pemerintah tidak bisa memberikan salah satu layanan masyarakat? yg berguna buat kaum bawahan.... banyak yg rela naik Transjakarta dari 2-3 jam sebelum masuk kerja, buat apa, (BUAT BERHEMAT BIAYA TRANSPORTASI KE PEKERJAAN), ada yg rela bangun subuh demi bisa dapet tempat ddk... ada yg rela tungguin jam busway rusun 1-2 jam dihalte (#kayak sapi dijual gak laku😂😂), buat apa? BUAT BERHEMAT **SIAPA YG RELA TUNGGU BEBERAPA, BAHKAN LEBIH DSRI 1JAM HANYA BUAT TUNGGU BUSWAY RUSUN, COBA LIKE KOMENTAR INI KAK🙏🙏😂 #sekedar suara rakyat yaa gaess, skip aja buat yg gak sependapat 🙏🙏🙏🙏 10-28 1 Reply",hehehehehe maaf kalau mobil dpr minimal uang alir maju armada transjakarta di jakarta jakarta keras buat kaum rengginang bicara beli kopi ja o an naik komplen sorry to say semua naik transjakarta bebelian kopi gtuan rela ngopi saset harga an nya beli nasduk buat sarap penting ngopi kalau perintah buat kartu langgan jadi lebih murah mungkin ituu bantu kaum rengginang tulang punggung keluarga pakk kalau bilang naiik harga sekarang naik wajar iyaa betull pun tuju tapi perintah tidak beri salah satu layan masyarakat guna buat kaum bawah banyak rela naik transjakarta jam masuk kerja buat apa buat hemat biaya transportasi kerja yang rela bangun subuh bisa dapet tempat ddk yang rela tungguin jam busway rusun jam halte sapi jual gak laku buat apa buat hemat siapa yang rela tunggu beberapa bahkan lebih dsri jam buat tunggu busway rusun coba like komentar kak suara rakyat yaa gaess skip buat yang gak dapat,Negatif,-1
Helena tidak setuju. 11-2 0 Reply,helena tidak tuju,Negatif,-1
hello!! Kepala dishub nya keliatannya spt org kaya 10-28 0 Reply,hello kepala dishub liat spt org kaya,Negatif,-1
helo jgn naik plisss naikin ajaaa pajak org org kaya itu,helo naik plis naikin pajak org org kaya,Negatif,-1
"help, bagi gua yang kuliah sambil kerja, itu bukan cuma naik segini😭😭😭",help saya kuliah kerja bukan cuma naik gin,Negatif,-1
Heru masalah ga semuanya gaji umr loh dijakarta 10-29 0 Reply,heru masalah tidak semua gaji umr dijakarta,Negatif,-1
"heyy yang bilang itu ""cuma"", plis bagi kami yg tiap hari ngandelin transum, itu kerasa bgtt, karna pengeluaran untuk transport otomatis naik hampir 50%.. gue ga kontra kalo emg tarif harus naik, tapi bisalah jangan langsung naik 43% gitu",heyy bilang cuma plis kami tiap hari ngandelin transportasi umum rasa bgtt keluar transport otomatis naik hampir gue tidak kontra kalau emg tarif naik tapi bisa jangan langsung naik gitu,Negatif,-1
hibbyy yahhh kok naiknya banyak si pak 10-29 0 Reply,hibbyy kok naik banyak pak,Negatif,-1
"hiks....banyak yg gak bayar, tap in tap outnye besok hari. artinya dia naik saat tap in hari itu (tdk tap out/ tdk bayar). begitu aja setiap hari. Ada yang bilanh tap outkan nada bunyinya 2 x beep. merk pikir ke potong 2 kali buat yg kemarin dan hari ini. parah sihhh, padahal itu komplek perkantoran n rata² bumn🤪",hiks banyak gak bayar tempel in tempel outnye besok hari arti naik tempel in hari tdk tempel out tdk bayar saja hari bilanh tempel outkan nada bunyi x beep merk pikir potong kali buat yang kemarin hari parah padahal komplek kantor rata bumn,Negatif,-1
"Ya dihitungnya jgn 3500 nya dong, harus dikali pp dan hari kerja warganya. Kan ini buat commute sehari- hari bukan tamasya",hitung nya harus kali pulang pergi hari kerja warga ini buat commute hari hari bukan tamasya,Negatif,-1
hM mending naik lrt gwa,hm mending naik lrt gwa,Negatif,-1
hmm tujuan naik tuh apa? buat korupsi kah dompet atau gimana? nanya ya ini baik-baik,hmm tuju naik apa buat korupsi dompet gimana nanya ini baik baik,Negatif,-1
"hoisumez gue yg perlu transit 2x gmn, dr 14k ke 20k perhari😫 10-30 1 Reply",hoisumez gue perlu transit x bagaimana dr k k hari,Negatif,-1
hrga naik? gue ogah naik transum lgi.,hrga naik gue ogah naik transportasi umum lgi,Negatif,-1
"hrsnya jadi fasilitas umum, gratis, dibiayai dari apbd.. pajak rakyat kan jd pendapatan daerah... ini koq malah naik...😒",hrsnya jadi fasilitas umum gratis biaya apbd pajak rakyat jd dapat daerah koq malah naik,Negatif,-1
ya hrsnya PNS jgn gratis lg dong pak sasaran utk yg gratis hrs tepat,hrsnya pns gratis lg pak sasar yang gratis hrs tepat,Negatif,-1
huwaa sedihh😭💔,huwaa sedihh,Negatif,-1
"i. caa minimal perbaiki dlu mesin yg suka kepotong 2kali, setiap ditanya progress pengembalian dana yg kepotong 2kali gmn? katanya masih di proses. Proses sampek skrng udh 6 blm belum balik2 itu dana😌. Be aware ya guys buat klian yg suka naik TJ klau bisa hbis tap di cek lagi e-money atau flash nya soalnya suka kepotong 2 kali tanpa sepengetahuan kita 10-26 121 Reply",i caa minimal baik dulu mesin suka potong kali tanya progress kembali dana potong kali bagaimana kata proses proses sampek skrng belum belum balik dana be aware guys buat klian suka naik transjakarta klau hbis tempel di cek e money flash soal suka potong kali tahu reply,Negatif,-1
"I LOVE MINT CHOCO Seharusnya hari itu bisa makan pake perkedel sekarang makan tanpa perkedel, kayak gitu gesss perbandingannya untuk kita rakyat kecil jadi jangan bilang cuma segini cuma segitu, untuk kita yg masih di gaji ini limaratus perakpun berharga 10-29 1 Reply",i love mint choco hari bisa makan pake perkedel sekarang makan perkedel kayak gitu ges banding kita rakyat kecil jadi jangan cuma gin cuma segitu kita masih gaji limaratus perak harga,Negatif,-1
"ibu bawa anak sama ibu hamil di gratiskan dong kalo naik Transjakarta saya ibu punya anak 1 sering bbgt jalan2 naik Transjakarta karna anak saya lebih suka naik bis dibanding naik kereta , sekarang aja ank tinggi 100cm aja harus 1kartu atau bayar sama lansia yaaa",ibu bawa anak sama ibu hamil gratis kalau naik transjakarta ibu punya anak sering bbgt jalan naik transjakarta anak lebih suka naik bis banding naik kereta sekarang ank tinggi cm harus kartu bayar sama lansia,Negatif,-1
ibu kerudung yg biru : cair cair,ibu kerudung biru cair cair,Negatif,-1
@Noval 'ICY' Sanggar R yah cuma 1 halte goceng anjir 🗿,icy sanggar r cuma halte lima ribu anjing,Negatif,-1
idihh😩😩😩,idihh,Negatif,-1
"IG: @buildurkur Bayangin, orang kerja 9 to 5, pulang-pergi naik TJ, kerja 22 hari × 3.500, sebulan keluar 154 ribu. Kalau naik jadi 5.000, berarti 22 hari × 5.000 = 220 ribu. Itu baru ongkos TJ aja, buat yang rutenya enak, rumah ke kantor cukup BRT langsung. Tapi gimana yang “hybrid pro max”? Dari rumah harus ojol ke stasiun, lanjut commuter line, pindah TJ, TJ-nya pun harus ganti dari BRT ke non-BRT (tap in–out dua kali), terus lanjut lagi ojol ke kantor. Ongkosnya berlapis, makin berat. Itu kalau kantoran. Gimana pedagang, buruh harian, atau pekerja lepas yang penghasilannya bahkan di bawah UMP? Kenaikan tarif kayak gini bukan cuma angka di atas kertas, tapi real impact ke orang kecil yang tiap hari berjuang buat hidup di Jakarta. Kalau memang harus naik, at least kasih solusi yang fair. Misalnya bikin sistem fare cap kayak di luar negeri, jadi setelah tap beberapa kali dalam sehari tarifnya stop di batas tertentu. Atau kasih monthly pass yang lebih murah buat pengguna rutin. Dan paling penting, kalau mau naikin tarif ya bertahap, bukan langsung digas 43%. Empat puluh tiga persen, WOYY, itu hampir setengah kali lipat! 10-27 0 Reply",ig bayangin orang kerja to pulang pergi naik transjakarta kerja hari bulan keluar ribu kalau naik jadi arti hari ribu baru ongkos transjakarta buat rute enak rumah kantor cukup brt langsung tapi gimana hybrid pro max rumah ojol stasiun lanjut commuter line pindah transjakarta transjakarta pun ganti brt non brt tempel in out kali terus lanjut ojol kantor ongkos lap makin berat kalau kantor gimana dagang buruh hari kerja lepas hasil bahkan bawah ump naik tarif kayak gin bukan cuma angka atas kertas tapi real impact orang kecil tiap hari juang buat hidup jakarta kalau memang naik at least kasih solusi fair misal sistem fare cap kayak luar negeri jadi tempel beberapa kali hari tarif stop batas tentu kasih monthly pass lebih murah buat guna rutin paling penting kalau mau naikin tarif tahap bukan langsung gas empat puluh tiga persen woyy hampir tengah kali lipat,Negatif,-1
"ig: giorgio.apj ya lu pikirlah kalo kekurangan dana, lu sbg pemerintah harus tau spot yg bisa dikembangin jd uang jangan apa2 lgsg dibebankan ke warga. Gimana sih pak pramono! 10-26 54 Reply",ig giorgio apj kamu pikir kalau kurang dana kamu sbg perintah tau spot bisa dikembangin uang jangan apa lgsg beban warga gimana pak pramono,Negatif,-1
Ih ngapin d naikin lagi . 3500 k juga gw keberatan 😏😌 klo mau d naikan jangan macet😏,ih ngapin naikin k saya berat kalau mau naik jangan macet,Negatif,-1
ihh,ihh,Negatif,-1
Iiih gila sih,ih gila,Negatif,-1
iisaajaa eh yg bener aja lah 10-27 0 Reply,iisaajaa eh benar lah,Negatif,-1
"ijooyy pasti berasa walau naik sedikit. karna pekerja juga abis naik tj ada yg lanjut naik ojol, kereta dll. intinya mereka naik umum karna mau hemat. pemerintah alangkah lebih baik gunain anggaran buat ngelola transum lebih baik, lebih nyaman dan membantu masyarakat yg gajinya juga segitu² aja. terlebih skrg apa² juga mahal. 10-26 93 Reply",ijooyy asa naik sedikit kerja abis naik transjakarta lanjut naik ojol kereta inti naik umum mau hemat perintah alangkah lebih baik gunain anggar buat ngelola transportasi umum lebih baik lebih nyaman bantu masyarakat yang gaji segitu lebih skrg apa mahal,Negatif,-1
"ilsasya gaess kalian yg warga asli jkt dan kerja di jkt bisa gratiss ada 17 kategori yg bisa dapet akses gratis pake atm bank dki. gw uda 1 taun ini pake gratis buat lrt,mrt,tj,kecuali krl 10-30 0 Reply",ilsasya gaess kalian warga asli jkt kerja jkt gratiss kategori bisa dapet akses gratis pake atm bank dki uda taun pake gratis buat lrt mrt transjakarta krl,Negatif,-1
im pdhl apbd jkt gede bgt🙄 10-27 0 Reply,im pdhl apbd jkt gede reply,Negatif,-1
"imaji fiksi [penulis] pajak dibayar rakyat, pemerintah ngutang. harga listrik naik, PLN bilangnya merugi. ongkos transum naik, karena merugi. inflasi yang bikin siapa sih? rakyat mulu yg banting tulang. heran. 10-28 0 Reply",imaji fiksi tulis pajak bayar rakyat perintah ngutang harga listrik naik pln bilang rugi ongkos transportasi umum naik rugi inflasi bikin siapa rakyat mulu banting tulang heran,Negatif,-1
"imthenoona rakyat lagi yang kena , Rakyat lagi ongkos , listrik , sampe beras naik nya gila2an, tapi gaji ga naik. jerat terus leher ini wahai penguasa 10-27 0 Reply",imthenoona rakyat yang kena rakyat ongkos listrik sampe beras naik gila tapi gaji tidak naik jerat terus leher wahai kuasa,Negatif,-1
"in this economy ,ya Allah tolonggg 😭",in this economy allah,Negatif,-1
"In this economy, tarif tj malah naik😮‍💨😪😪💔",in this economy tarif transjakarta malah naik,Negatif,-1
"in this economy keterlaluan sih. ngga semua orang gajinya pas UMR, ngga semua orang juga naik TJ BRT, yg transit non BRT berarti 2x tap in.",in this economy terlalu ngga semua orang gaji pas umr ngga semua orang naik transjakarta brt transit non brt arti x tempel in,Negatif,-1
"Indah Apriliani ga menyelesaikan masalah juga, di jalan ya macet 11-1 2 Reply",indah apriliani tidak selesai masalah di jalan macet,Negatif,-1
"Indieggoooooo apa daya yg transit tpi ga di halte, otomatis bayar lgi😭 10-28 0 Reply",indieggo apa daya transit tapi tidak halte otomatis bayar lgi,Negatif,-1
"-ing gak kira², kalo mau naik mah gopek ajaa kali 10-26 1 Reply",ing kira kalau mau naik gopek ajaa kali,Negatif,-1
"pak, ini mah kebijakan salah sasaran.yang sudah berpenghasilan bagus knapa di gratisin.",ini bijak salah sasar sudah hasil bagus knapa gratisin,Negatif,-1
inilah pilihan kalian,ini pilih kalian,Negatif,-1
"mereka ini terlalu dispesialin dibandingkan dengan masyarakat biasa terutama berpendapat rendah, seharusnya disetarakan dan gak jarang juga dari mereka menggunakan transum",ini terlalu dispesialin banding masyarakat biasa utama dapat rendah tara gak jarang dari guna transportasi umum,Negatif,-1
pak ini tiba2 beban subsidinya jadi berasa berat karena ada koridor non brt yg jauh bgt kayak blok m - bogor lagi 🤣,ini tiba beban subsidi jadi asa berat ada koridor non brt jauh kayak blok m bogor,Negatif,-1
"inimah naluri manusia gua bisa makin egois, bayar segitu HARUS dapet duduk😭 enak aja bayar nyampe 7000 harus berdiri dari awal sampe akhir 😭",inimah naluri manusia bisa makin egois bayar segitu dapet duduk enak bayar nyampe diri awal sampe akhir,Negatif,-1
"inoiss & ndaa🍡 @🫧vanvanilla✨:Eh bukan masalah ini ""cuma"" 5rb... ini kenaikanya 43%. Yg dimana pengeluaran biaya masyarakat utk transum juga naik 43% hampir setengahnya! Kalo naik transum sekali doang mah gaberasa 5rb. Kalo yg tiap hari? Senin-Jumat PP Yg awalnya cuma 35rb Perminggu jadi naik 50rb. Selisihnya 15rb, perminggu. JANGAN LIAT 5 RIBUANNYA, LIAT KENAIKAN ITUNGAN PERSEN HARGANYA! Gausah ngomongin org yg tiap hari beli kopi bisa, KARENA GAK SEMUA ORG MINUM KOPI TIAP HARI! Kenaikan harusnya bertahap jangan langsng 43%. Kasiannn rakyat yg berganthng transum. Mana semua naik tapi gaji kaga naik. Empati dan observasi dikit jangan generalisir sementang CUMA 5rb doang pretttt 10-28 0 Reply",inoiss ndaa vanvanilla eh bukan masalah cuma rb kenaikanya mana keluar biaya masyarakat transportasi umum naik hampir tengah kalau naik transportasi umum sekali doang gaberasa rb kalau tiap hari senin jumat pulang pergi awal cuma rb minggu jadi naik rb selisih rb minggu jangan lihat ribu lihat naik itungan persen harga gausah bicara org tiap hari beli kopi karena semua org minum kopi tiap hari naik harus tahap jangan langsng kasi rakyat berganthng transportasi umum mana semua naik tapi gaji tidak naik empati observasi sedikit jangan generalisir sementang cuma rb doang pret,Negatif,-1
Intande gapapa gue naik 45% tapiii UMR NAIK 20% ga? 10-27 569 Reply,intande gapapa gue naik tapi umr naik tidak,Negatif,-1
"interupsi pak, asn tni polri menurut saya gak perlu digratiskan krn mereka sdh ada tunjangan, toh jarang juga mereka naik transum, baiknya untuk difabel dan pelajar atau usia rentan–orangtua di atas 50 tahun–terima kasih",interupsi asn tni polri saya perlu gratis mereka ada tunjang jarang mereka naik transportasi umum baik difabel ajar usia rentan orangtua atas tahun terima kasih,Negatif,-1
inti nya hilangkan dlu korupsi pasti tidak akan seperti ini,inti hilang dulu korupsi tidak seperti,Negatif,-1
intinya kalo ga korupsi ga bisa hidup 💔rip manusia,inti kalau tidak korupsi tidak hidup rip manusia,Negatif,-1
intinya naik tj buat orang tua saja dan lansia yang anak genz mending kita ramaikan jalan jakarta naik motor masing-masing udah paling bner,inti naik transjakarta buat orang tua dan lansia anak genz mending ramai jalan jakarta naik motor masing masing udah paling bner,Negatif,-1
intinya rakyat bayarin ASN. ga mau rugi KRNA dah gratisin ASN imbas nya masyarakat yg kena bayar lebih mahal,inti rakyat bayarin asn tidak mau rugi krna dah gratisin asn imbas masyarakat kena bayar lebih mahal,Negatif,-1
"Ip. salah satu alasan naik transum buat menghemat budget biar ga sering2 beli bensin, klo naik bgni mah mending pp bawa motor dah 30k 5hari dari pd 30k cuman 3hari😌 10-27 0 Reply",ip salah satu alas naik transportasi umum buat hemat budget tidak sering beli bensin kalau naik bgni mending pulang pergi bawa motor dah k hari pd k cuman hari,Negatif,-1
iqis semua ggr mbg 10-28 0 Reply,iqis semua ggr mbg,Negatif,-1
isi 10rb aja biasanya bisa 3 kali dipake ini 10 rb cuman 1 kali doang dipake,isi rb biasa kali dipake rb cuman kali doang dipake,Negatif,-1
isi 20rb cuma 4x pakai🧐,isi rb cuma x pakai,Negatif,-1
Isi ulang kena admin 1500 berapapun isinya 😂 mau ceban goban dll,isi ulang kena admin berapa isi mau puluh ribu gob,Negatif,-1
